"UniqueID","GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"CPS2-ASU-T54-ExpBlock1-218.0","1054","ExpBlock1","0.672435806497376","3.37552742616034","2","2","2.07944154167984","0","NaN","1","0"
"CPS2-ASU-T54-ExpBlock1-48.0","1054","ExpBlock1","0.936303021705206","0.606060606060606","2","2","0.693147180559945","5.83153347732181","2","2","3.29583686600433"
"CPS2-ASU-T54-ExpBlock1-627.0","1054","ExpBlock1","0.331961980422755","0","NaN","1","0","2.8","2","2","1.94591014905531"
"CPS2-ASU-T54-ExpBlock1-792.0","1054","ExpBlock1","2.08540218470705","5.03401360544218","2.17647058823529","3","3.51229126472602","18.8940092165899","2","2","5.09986642782417"
"CPS2-ASU-T54-Warmup-418.3055","1054","Warmup","1.18882110937722","2.38663484486873","2","2","2.30258509299405","5.79710144927536","2","2","3.46573590279972"
"CPS2-ASU-T54-Warmup-531.6945","1054","Warmup","0.959001276776848","6.50887573964497","2","2","3.09104245335832","12.3142250530786","2.18867924528302","3","3.95558134465637"
"CPS2-ASU-T54-Warmup-57.7458","1054","Warmup","38.3174918428146","65.9903739355794","2.73290401717265","11","8.71058730937922","85.2984308549641","3.82350041084634","12","8.56750725614091"
"CPS2-ASU-T54-Warmup-633.4356","1054","Warmup","0.91076748474961","0.623052959501558","2","2","0.693147180559945","8.81057268722467","2","2","3.68887945411393"
"CPS2-ASU-T56-ExpBlock1-30.0425","1056","ExpBlock1","3.48985671726486","4.30894308943089","2.12","3","3.90143934802432","16.6544387380778","2.48087431693989","3","5.18917295021145"
"CPS2-ASU-T56-ExpBlock2-138.7884","1056","ExpBlock2","1.01007235068804","5.0561797752809","2","2","2.89037175789616","16.9734151329243","2","2","4.4188406077966"
"CPS2-ASU-T56-ExpBlock2-394.0724","1056","ExpBlock2","0.768903390551851","1.4760147601476","2","2","1.38629436111989","3.71287128712871","2","2","2.70805020110221"
"CPS2-ASU-T56-Warmup-49.2643","1056","Warmup","0.153213221733579","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T56-Warmup-613.9104","1056","Warmup","15.885941268265","27.2727272727273","2.15677966101695","4","7.24108095517624","59.6039776692254","2.59908710536326","5","7.83122507705789"
"CPS2-ASU-T59-ExpBlock1-28.5745","1059","ExpBlock1","11.3179174350972","17.3727751316119","2.0748502994012","4","6.49665816487288","44.4444444444444","2.19927971188475","3","7.40294431824852"
"CPS2-ASU-T59-ExpBlock2-536.589","1059","ExpBlock2","0.607178323166407","0.934579439252336","2","2","0.693147180559945","0","NaN","1","0"
"CPS2-ASU-T59-ExpBlock2-666.3258","1059","ExpBlock2","0.479500638388424","0","NaN","1","0","4.63576158940397","2","2","2.63905732961526"
"CPS2-ASU-T59-ExpBlock2-86.4373","1059","ExpBlock2","0.621364732586182","0.91324200913242","2","2","0.693147180559945","0","NaN","1","0"
"CPS2-ASU-T59-Warmup-96.3942","1059","Warmup","5.71712299616967","12.4565756823821","2.05737704918033","4","5.49017578636741","32.9841713221602","2.25278219395866","4","6.41395023240678"
"CPS2-ASU-T60-ExpBlock1-17.6414","1060","ExpBlock1","1.51227124414811","4.69043151969981","2.08333333333333","3","3.17022001189522","9.60960960960961","2.46153846153846","4","3.89895289064969"
"CPS2-ASU-T60-ExpBlock2-365.2318","1060","ExpBlock2","0.627039296354093","3.61990950226244","2","2","2.07944154167984","0.847457627118644","2","2","1.09861228866811"
"CPS2-ASU-T60-ExpBlock2-54.4305","1060","ExpBlock2","0.524897148531707","1.08108108108108","2","2","0.693147180559945","5.0314465408805","2.66666666666667","3","2.46848989115866"
"CPS2-ASU-T60-Warmup-34.8154","1060","Warmup","0.621364732586182","0.91324200913242","2","2","0.693147180559945","3.125","2","2","2.39789527279837"
"CPS2-ASU-T60-Warmup-629.7493","1060","Warmup","0.1645623492694","0","NaN","1","0","2.61780104712042","2","2","1.6094379124341"
"CPS2-ASU-T61-ExpBlock1-147.5895","1061","ExpBlock1","3.05858987090367","5.10204081632653","2.03703703703704","3","3.98521690660839","9.00082576383154","2","2","4.69134788222915"
"CPS2-ASU-T61-ExpBlock1-729.1787","1061","ExpBlock1","0.258192651439921","0","NaN","1","0","4.01785714285714","2","2","2.19722457733622"
"CPS2-ASU-T61-ExpBlock1-8.6189","1061","ExpBlock1","0.456802383316783","1.24223602484472","2","2","0.693147180559945","3.40136054421769","2","2","2.30258509299405"
"CPS2-ASU-T61-ExpBlock2-10.6845","1061","ExpBlock2","1.02993332387573","1.10192837465565","2","2","1.38629436111989","5.04032258064516","2","2","3.2188758248682"
"CPS2-ASU-T61-ExpBlock2-377.1008","1061","ExpBlock2","7.53582068378493","16.039156626506","2.06796116504854","3","6.01446391307562","41.5919684474722","2.2200956937799","3","6.93558436832702"
"CPS2-ASU-T61-ExpBlock2-538.7248","1061","ExpBlock2","0.836998155766775","0.677966101694915","2","2","0.693147180559945","4.4392523364486","2","2","2.94443897916644"
"CPS2-ASU-T61-Warmup-507.7865","1061","Warmup","0.161725067385445","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T61-Warmup-56.7074","1061","Warmup","1.2342176195205","2.75862068965517","2","2","2.484906649788","7.3943661971831","2","2","3.73766961828336"
"CPS2-ASU-T61-Warmup-839.9585","1061","Warmup","0.456802383316783","1.24223602484472","2","2","0.693147180559945","0","NaN","1","0"
"CPS2-ASU-T62-ExpBlock1-183.2709","1062","ExpBlock1","2.40034047382607","4.25531914893617","2","2","3.58351893845611","15.0663942798774","2.09219858156028","3","4.94022431402998"
