UniqueID,school,team,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,GROUPID
CPS2-ASU-T43-ExpBlock2-239.74900000000002,ASU,CPS2-ASU-T43,ExpBlock2,One at a time,239.749,314.8717,245,304,75.1227,1,0,1,1043
CPS2-ASU-T43-ExpBlock2-325.3963,ASU,CPS2-ASU-T43,ExpBlock2,Smiley Mouth,325.3963,431.5024,362,421,106.1061,1,0,1,1043
CPS2-ASU-T43-ExpBlock2-511.8487,ASU,CPS2-ASU-T43,ExpBlock2,Fe2,511.8487,611.4517,542,601,99.603,0,0,0,1043
CPS2-ASU-T43-ExpBlock2-611.4517,ASU,CPS2-ASU-T43,ExpBlock2,Timing is Everything,611.4517,768.6247,699,758,157.173,1,0,1,1043
CPS2-ASU-T43-ExpBlock2-75.8904,ASU,CPS2-ASU-T43,ExpBlock2,Scale,75.8904,160.568,91,150,84.6776,1,0,1,1043
CPS2-ASU-T43-ExpBlock2-782.1388,ASU,CPS2-ASU-T43,ExpBlock2,Fe2,782.1388,900.029,840,899,117.8902,0,0,0,1043
CPS2-ASU-T43-Warmup-178.6136,ASU,CPS2-ASU-T43,Warmup,Yippie!,178.6136,413.344,344,403,234.7304,0,1,1,1043
CPS2-ASU-T43-Warmup-32.9621,ASU,CPS2-ASU-T43,Warmup,Can Opener,32.9621,178.6136,109,168,145.6515,0,0,0,1043
CPS2-ASU-T43-Warmup-435.5655,ASU,CPS2-ASU-T43,Warmup,Spider Web,435.5655,793.7696,724,783,358.2041,0,1,1,1043
CPS2-ASU-T43-Warmup-838.5263,ASU,CPS2-ASU-T43,Warmup,Annoying Lever,838.5263,900.008,840,899,61.4817,0,0,0,1043
CPS2-ASU-T44-ExpBlock1-31.8175,ASU,CPS2-ASU-T44,ExpBlock1,Top spin,31.8175,448.1376,379,438,416.3201,0,1,1,1044
CPS2-ASU-T44-ExpBlock1-453.6985,ASU,CPS2-ASU-T44,ExpBlock1,Think Ahead,453.6985,900.008,840,899,446.3095,0,0,0,1044
CPS2-ASU-T44-ExpBlock2-249.2044,ASU,CPS2-ASU-T44,ExpBlock2,Smiley Mouth,249.2044,361.983,292,351,112.7786,1,0,1,1044
